i,c_idx
2977,11
2977,0
2977,129
2977,9
2977,181
3765,479
3765,27
3389,6
3389,0
3389,5
3389,74
4107,293
4107,28
4107,186
3391,1
3391,59
3391,0
3391,3
3000,0
3000,5
3000,6
3874,292
3874,79
3874,329
3039,14
3039,429
3039,1
3039,132
3039,0
3039,445
3039,553
3039,122
3039,225
3808,291
3808,0
3808,2
3808,151
3808,1
3808,24
3138,477
3138,479
3138,27
3138,422
3400,106
3400,28
4001,158
4001,768
4001,436
4001,65
4001,163
3344,228
3344,18
3344,0
3344,24
3445,401
3445,198
3445,154
3445,32
4153,536
4153,0
4153,1
4153,20
4153,114
3169,114
3169,1
3169,24
3169,429
3169,176
3169,113
3169,0
3169,304
3169,270
3169,13
3664,515
3664,30
3664,516
3496,293
3496,28
3496,186
3209,1
3209,176
3209,3
3209,4
3209,218
3209,224
3209,473
3209,86
3209,0
3209,59
3209,60
3297,79
3297,202
3297,32
3297,173
3834,27
3834,229
3834,396
3834,34
3834,35
3694,20
3694,1
3967,58
3967,172
3967,279
3967,30
3967,230
3263,1
3263,4
3263,0
2894,0
2894,12
2894,9
2894,11
2894,10
2894,98
2894,66
3007,79
3007,92
3007,90
3007,91
3007,89
3593,24
3593,0
3593,10
3043,0
3043,24
3043,66
3043,114
3043,1
3043,152
3043,228
3457,187
3457,188
3615,12
3615,0
3583,63
3614,1
3614,225
3614,151
3614,224
3614,227
3614,0
3614,226
3614,74
3520,424
3520,66
3520,101
3520,103
3520,30
3790,62
3790,28
3790,324
3790,30
3790,170
4130,429
4130,0
3131,0
3131,51
3131,13
3131,122
3131,607
3438,154
3438,32
3982,12
3982,0
3830,146
3830,58
3830,30
4097,21
4097,166
3887,772
3887,684
3887,158
3887,118
3887,28
3887,79
3887,231
4132,125
4132,126
4132,11
4132,1
4132,169
4132,9
3090,18
3090,0
3090,1
3090,59
3774,74
3774,0
3456,59
3456,0
3181,161
3181,359
3181,16
3181,69
3879,27
3879,34
3879,164
3730,154
3730,32
4113,34
4113,56
4113,28
4113,219
4113,251
4113,299
4113,27
3532,12
3532,0
3113,3
3113,0
3113,1
3224,459
3224,0
3224,122
3224,11
3224,59
3224,9
4158,30
4158,1
4158,125
4158,126
3721,139
3721,251
3721,479
3721,27
3261,0
3261,122
4229,11
4229,19
4229,9
4229,1
4229,129
4229,0
4229,17
3999,22
3999,0
2912,3
2912,114
2912,132
2912,508
2912,1
2912,63
2912,133
3723,30
3723,515
3216,30
3216,485
3216,58
3216,184
3250,12
3250,0
3250,18
3640,95
3640,94
3640,30
3328,20
3328,1
3328,66
3328,152
3126,114
3126,0
3126,7
3126,113
3126,1
3126,298
4190,112
4190,119
4190,79
3701,21
3701,117
2910,24
2910,22
2910,0
2910,228
3918,0
3918,10
3703,0
3703,153
3703,52
3703,24
3145,104
3145,259
3145,16
3167,304
3167,748
3167,429
3167,0
3354,7
3354,0
3562,1
3562,3
3562,314
3353,9
3353,12
3353,11
3353,0
3353,129
3353,51
3353,165
2923,66
2923,431
3264,14
3264,0
3264,59
3264,24
3847,1
3847,3
3847,100
3847,0
3754,1
3754,24
3754,59
3754,3
3754,0
3531,154
3531,32
3287,542
3287,117
3287,27
3287,21
4219,253
4219,137
4219,27
4018,1
4018,224
4018,30
4018,629
4018,272
4018,271
4018,0
3778,22
3778,24
3778,3
3778,0
3778,1
3710,32
3710,50
3710,31
4045,151
4045,0
4100,149
4100,79
4100,29
4100,30
4015,90
4015,91
4015,79
3935,122
3935,0
3935,84
3935,1
3935,66
3935,152
3851,28
3851,794
3851,27
3851,249
3851,248
3563,354
3563,21
3563,117
3649,0
3649,12
3649,24
3649,10
3080,349
3080,0
3080,47
3080,16
3080,11
3601,58
3601,184
3601,54
3601,30
3601,146
3619,27
3619,554
3619,326
3619,35
3619,197
3619,34
3619,229
3619,418
3074,1
3074,0
3074,3
3074,59
3074,86
3436,146
3436,30
3436,27
3436,58
3436,484
3436,485
3436,184
4060,43
4060,28
4060,387
4060,42
4060,39
4060,353
4060,488
4060,37
3374,3
3374,263
3374,1
3620,79
3620,795
3620,315
4037,27
4037,542
4037,411
4037,130
3668,0
3668,268
3668,116
3377,65
3377,80
3377,81
3377,573
3377,82
2904,0
2904,47
2904,228
2904,51
2904,12
2904,24
3955,12
3955,0
4221,164
4221,34
4221,27
4105,566
4105,80
4105,65
3085,56
3085,450
3085,400
3085,27
3085,130
3085,364
3933,52
3933,3
3933,51
3933,1
3933,0
3854,268
3854,0
3896,28
3896,293
3896,186
3522,1
3522,464
3522,490
3522,4
3522,0
3769,197
3769,196
3951,27
3951,249
4272,27
4272,139
3439,3
3439,1
3439,218
3439,0
3439,24
4199,11
4199,515
4199,73
4199,30
4199,9
3515,9
3515,303
3515,129
3515,11
3821,293
3821,106
3821,186
3821,28
3821,107
3821,527
3727,1
3727,25
3727,3
3657,0
3657,14
3657,13
3796,79
3796,515
3796,16
3796,516
3796,279
3796,65
3796,30
3876,143
3876,144
3876,30
3577,0
3577,24
3577,12
3577,338
3526,148
3526,79
3425,28
3425,506
3088,50
3088,32
3088,195
3088,198
3332,305
3332,32
3332,50
4059,66
4059,365
4059,318
4059,16
3556,14
3556,18
3556,122
3556,13
3556,176
3556,0
3556,24
3029,374
3029,11
3029,1
3029,125
3029,126
3029,9
3029,8
3180,0
3180,150
4266,99
4266,0
3859,1
3859,125
3859,126
3265,0
3265,33
3265,497
3740,5
3740,6
3740,0
3740,33
4103,0
4103,10
3190,261
3190,188
3190,190
2922,0
2922,9
2922,11
2922,267
4063,240
4063,132
4063,4
4063,1
3579,0
3579,10
3579,12
3117,354
3117,167
3117,117
3117,21
3117,296
3304,190
3304,261
3304,188
3305,269
3305,45
3305,30
3305,46
3305,80
3305,65
3305,110
3305,95
3305,102
3305,108
4232,45
4232,30
4232,46
4232,110
4232,108
4068,796
4068,16
4068,658
4068,28
3458,0
3458,12
3797,0
3797,339
3233,28
3233,366
3233,797
3552,122
3552,0
3552,66
3552,16
3552,152
3552,350
3552,18
3552,3
3552,1
3552,11
3552,283
3552,98
3552,86
3957,154
3957,32
3969,542
3969,724
3969,27
3969,736
3969,28
3969,251
3969,411
3447,30
3447,321
3447,58
3447,27
3447,447
3571,12
3571,0
2898,193
2898,32
2898,154
2898,173
2898,194
3920,422
3920,27
3920,798
3920,139
3253,27
3253,139
3253,413
4242,273
4242,344
4242,18
4242,99
4242,0
4242,267
3134,576
3134,16
3046,18
3046,0
3046,9
3046,11
3497,177
3497,366
3497,361
3497,234
3497,101
3497,66
3497,28
3497,130
3497,30
3566,180
3566,45
3566,30
3271,9
3271,66
3271,11
3271,13
3271,18
3271,459
3271,98
3271,59
3271,0
3271,122
4259,1
4259,100
4259,153
4259,0
4259,3
3337,1
3337,255
3337,256
3337,257
3337,398
3337,30
3337,3
3907,27
3907,139
3907,422
4126,8
4126,11
4126,9
4126,72
4126,390
4126,0
4126,304
4126,122
3741,154
3741,32
3741,173
3901,131
3901,50
3901,32
3901,30
3882,0
3882,84
3882,1
3882,524
3882,52
3882,4
4120,32
4120,154
4253,32
4253,193
4253,194
4253,79
4253,305
4253,174
4253,206
4040,228
4040,0
4040,24
3965,86
3965,0
3965,607
3262,10
3262,0
3262,122
3171,0
3171,6
3171,74
3171,700
3171,75
3011,1
3011,428
3011,263
3540,389
3540,161
3647,229
3647,35
3647,246
3647,27
3647,34
2895,0
2895,5
3246,11
3246,0
3246,9
3246,59
3246,175
3453,350
3453,11
3453,16
3453,9
3025,0
3025,291
3358,3
3358,0
3358,61
3358,1
3358,152
3358,4
3358,66
3358,536
3943,79
3943,112
3943,690
3943,441
3943,206
3943,194
3943,32
3943,221
3943,174
3465,21
3465,483
3465,296
3465,117
3990,37
3990,386
3990,387
3990,511
3990,39
4073,9
4073,11
4073,214
4073,1
4073,19
3970,117
3970,354
3970,632
3970,243
3970,21
3970,433
3239,59
3239,24
3239,0
3239,3
3239,1
3239,86
3584,261
3584,188
3584,190
3584,192
3521,10
3521,12
3521,0
3521,52
3653,21
3653,167
3490,66
3490,523
3490,0
3490,524
3490,152
3490,225
3272,112
3272,148
3272,149
3272,120
3272,574
3272,79
4151,28
4151,252
4151,56
4151,27
4151,58
4151,542
4151,30
4151,137
4151,251
4151,799
4151,422
4151,337
4151,800
4151,801
4151,134
3517,122
3517,0
3517,9
3517,11
3517,214
3517,18
3517,72
3516,299
3516,219
3516,27
3516,311
3516,28
3516,21
3516,215
3516,517
3516,30
3866,45
3866,30
3866,199
3866,200
2936,28
2936,421
2936,366
2936,496
2936,388
3922,416
3922,114
3922,1
3231,30
3231,489
3231,472
3231,255
3231,256
3231,257
3231,437
3665,0
3665,3
3665,1
3116,233
3116,141
3116,30
3116,144
3116,143
3116,28
3116,279
3905,30
3905,62
3905,108
3905,45
3047,3
3047,1
3047,100
3435,166
3435,117
3435,21
3435,243
3616,30
3616,398
3616,255
3616,256
3616,257
2946,12
2946,802
2946,122
2946,182
2946,0
4043,130
4043,197
4043,196
3370,47
3370,18
3370,0
4200,422
4200,27
4200,139
4036,27
4036,35
4036,246
4036,34
4033,302
4033,27
3739,27
3739,266
2917,186
2917,293
2917,28
3137,1
3137,100
3137,3
3018,182
3018,0
4261,803
4261,4
4261,83
4261,86
4261,100
4261,0
4261,114
4261,1
3260,197
3260,619
3260,620
3260,617
3260,130
3175,0
3175,22
3175,1
3175,20
3175,24
3042,12
3042,0
2976,14
2976,176
2976,0
2976,33
3791,146
3791,30
3791,58
3228,80
3228,81
3228,269
3228,222
3228,65
3228,82
3895,30
3895,28
3895,62
3895,323
3973,108
3973,30
3973,28
3973,45
3973,107
3973,130
4016,660
4016,79
4016,211
4016,130
4016,121
3678,231
3678,158
3678,16
3678,260
3678,30
3678,118
3678,440
3678,439
3678,28
3742,106
3742,45
3742,28
3742,180
3742,30
4135,685
4135,114
4135,1
4135,10
4135,0
3529,12
3529,0
3529,99
4076,263
4076,1
4076,268
4076,0
4076,298
4076,18
3553,733
3553,66
3553,39
3553,97
3146,0
3146,10
3946,301
3946,30
3767,330
3767,308
3767,158
3767,79
3767,80
3767,329
3767,65
3767,223
3767,231
3767,804
3767,82
3767,81
3708,28
3708,161
3708,388
3708,389
3139,22
3139,0
3139,25
3139,20
3139,1
3179,223
3179,79
3179,330
3179,112
3179,331
3179,805
3179,806
3179,173
3179,546
3179,32
3917,27
3112,10
3112,12
3112,24
3112,0
3111,0
3111,12
3365,0
3365,267
3022,9
3022,41
3022,11
3022,511
3022,513
3022,39
3022,37
3510,130
3510,68
3510,65
3510,66
3510,365
3510,232
3510,64
3972,1
3972,125
3972,126
3192,11
3192,9
3192,0
3192,807
3192,634
3192,47
3186,158
3186,79
3186,623
3186,119
3186,120
3186,148
3186,112
4106,27
4106,229
4106,34
3122,294
3122,188
3174,51
3174,152
3174,0
3174,11
3174,18
3174,9
3174,66
3667,0
3667,122
4020,82
4020,269
4020,65
4020,80
4020,573
3989,161
3989,388
3989,28
3989,389
3715,248
3715,400
3715,27
3715,28
3715,56
3715,130
3686,188
3686,297
3686,294
3686,190
3686,261
3686,192
3594,293
3594,28
3594,107
3594,527
3594,186
3329,59
3329,0
3598,296
3598,21
3598,117
3598,354
4241,0
4241,153
4241,656
3427,112
3427,174
3427,206
3427,79
3427,32
3427,808
4257,52
4257,0
4257,1
4257,3
4257,51
3837,602
3837,79
3837,112
4207,206
4207,32
4207,198
4207,50
3302,475
3302,65
3652,21
3652,117
3114,323
3114,324
3114,30
3114,170
3114,62
3114,28
2971,39
2971,97
2971,66
2958,270
2958,1
2958,304
2958,390
2958,0
2958,13
2958,152
2958,66
4149,0
4149,122
3838,137
3838,27
4072,1
4072,24
4072,20
4072,0
4072,22
4093,32
4093,208
4093,50
2983,47
2983,153
2983,0
2983,33
3757,164
3757,27
3757,34
3757,529
3687,16
3687,32
3687,242
3026,1
3026,3
3026,61
3026,340
4023,213
4023,11
3817,65
3817,729
3817,545
3817,707
3541,45
3541,108
3541,62
3541,110
3541,30
3293,298
3293,11
3293,214
3293,9
3293,0
3293,138
3409,75
3409,0
4085,809
4085,1
4085,434
4085,340
4085,16
2901,32
2901,332
2901,194
2901,154
2901,193
2901,333
3349,388
3349,27
3349,26
3349,28
3183,1
3183,240
3408,113
3408,0
3408,114
3408,1
3408,267
3408,263
3408,430
4216,34
4216,164
4216,27
3406,9
3406,11
3406,303
3406,129
3406,181
3993,21
3993,117
3203,24
3203,429
3203,176
3203,0
3211,198
3211,741
3211,173
3211,154
3211,32
3211,206
4144,3
4144,1
4144,2
4144,0
4144,86
4144,267
4144,273
4144,59
2969,1
2969,152
2969,66
2969,61
4265,30
4265,258
4265,255
4265,256
4265,257
3872,27
3872,28
3872,299
3872,219
3915,0
3915,11
3915,310
3915,73
3915,72
3915,9
3793,30
3793,77
3415,30
3415,105
2911,122
2911,9
2911,24
2911,0
2911,18
2911,11
2911,8
3071,7
3071,6
3071,0
3071,74
3650,110
3650,46
3650,45
3650,30
3500,88
3500,79
3500,91
3500,92
3500,275
3500,90
3500,276
3586,4
3586,1
3586,0
3630,296
3630,243
3630,117
3630,21
3775,1
3775,3
4099,21
4099,311
3530,194
3530,193
3530,79
3530,130
3530,32
3530,741
3530,198
3530,154
3530,206
3930,188
3930,189
3930,190
3930,192
3798,39
3798,66
3798,164
3798,97
3798,27
3798,34
3849,1
3849,197
3849,240
3849,130
3849,618
3849,620
3849,617
3988,63
3988,586
3988,30
3815,59
3815,24
3815,0
3617,283
3617,66
3617,178
3617,30
3617,177
3360,28
3360,106
3548,0
3548,268
2900,3
2900,24
2900,1
2900,59
2900,0
3789,177
3789,178
3789,30
3789,470
3789,283
3789,66
3789,179
3013,0
3013,87
3424,24
3424,0
3424,13
3424,22
3403,10
3403,666
3403,3
3403,59
3403,19
3403,0
3403,17
3403,1
4031,73
4031,11
4031,9
4031,415
3925,30
3925,178
3925,177
3980,144
3980,30
3980,141
3980,28
3980,233
3980,143
3931,130
3931,27
3931,356
3931,144
3931,30
3931,279
3378,32
3378,602
3378,79
3378,441
3378,112
3378,194
3378,206
3258,24
3258,1
3258,228
3258,114
3258,0
3258,113
2968,22
2968,10
2968,24
2968,0
3645,45
3645,62
3645,199
3645,200
3645,171
3645,30
4014,195
4014,32
4014,48
4014,50
4007,1
4007,240
4007,132
4214,206
4214,32
4214,194
4214,193
4217,731
4217,79
4217,120
4217,112
4217,805
2929,66
2929,39
2929,733
2929,97
3275,493
3275,231
3275,738
3275,0
3275,409
3275,158
3275,147
3275,58
3275,30
3608,12
3608,0
3625,178
3625,177
3625,30
4047,589
4047,79
4047,313
4047,112
3948,82
3948,65
3948,80
3948,81
3867,0
3867,12
3867,225
3726,3
3726,1
3726,100
3101,1
3101,20
3208,75
3208,0
4137,0
4137,9
4137,72
4137,11
4137,116
4137,47
3429,333
3429,32
3501,33
3501,74
3501,0
3501,5
3315,0
3315,24
3315,52
3478,62
3478,123
3478,427
3478,170
3478,30
3478,171
3285,154
3285,194
3285,193
3285,32
3426,545
3426,65
3426,289
3426,472
3426,95
3426,30
3048,0
3048,86
3048,9
3048,11
3048,1
3048,3
3048,8
3331,263
3331,114
3331,2
3331,113
3331,343
3331,0
3331,1
3942,62
3942,28
3942,170
3942,30
3942,323
4248,91
4248,90
4248,79
3276,0
3276,72
3276,9
3276,267
3276,11
3276,380
3276,338
3276,18
3503,197
3503,810
3503,418
3503,190
3503,188
4169,296
4169,21
4169,117
4169,354
3168,1
3168,61
2964,47
2964,0
2964,24
2964,7
2964,74
2964,18
2964,99
2964,281
3314,397
3314,279
3314,230
3314,30
3314,58
3314,502
3314,45
3314,172
3812,9
3812,11
3812,72
3812,125
3812,126
3812,1
3812,0
3812,18
3147,0
3147,10
3044,129
3044,73
3044,11
3044,183
3044,406
3044,0
3044,407
3044,9
3975,32
3975,31
3732,292
3732,79
3053,240
3053,365
3053,66
3053,1
3053,132
2959,52
2959,621
2959,1
2959,0
2959,622
2959,6
3519,117
3519,21
3280,32
3280,50
3954,27
3954,55
3954,651
3954,145
3960,149
3960,79
3960,29
3960,30
3161,81
3161,203
3161,79
3161,82
3161,80
3161,65
3717,27
3717,56
4017,122
4017,0
4082,248
4082,321
4082,28
4082,794
4082,30
4082,58
3482,45
3482,30
3737,242
3737,32
3319,90
3319,79
3319,89
3319,91
3173,0
3173,291
3240,259
3240,16
3240,98
3240,66
3153,528
3153,132
3153,1
3153,240
3597,28
3597,293
3597,186
3597,527
3597,107
3597,106
3372,184
3372,30
3372,146
3372,58
3372,123
3706,128
3706,65
3227,114
3227,1
3227,20
3227,360
3227,218
3549,0
3549,51
3549,12
3549,228
4101,241
4101,242
4101,32
3401,30
3401,518
3468,32
3468,154
4061,39
4061,37
4061,511
3012,32
3012,332
3012,811
3012,333
3352,206
3352,30
3352,131
3352,32
3533,715
3533,28
3533,30
3533,812
3533,543
3533,21
3676,293
3676,28
3676,186
4138,350
4138,18
4138,98
4138,127
4138,16
4138,11
4138,0
4138,66
4138,9
4138,169
4138,122
4138,1
3350,154
3350,32
3350,194
3350,50
2949,259
2949,16
3984,475
3984,65
3704,114
3704,1
3704,218
3704,500
3704,352
3704,224
3613,98
3613,66
3477,27
3477,58
3477,286
3477,244
3477,177
3477,62
3477,179
3477,30
3477,146
3477,147
3196,16
3196,259
3151,240
3151,1
3281,459
3281,175
3281,9
3281,0
3281,11
3281,122
3712,32
3712,50
3110,218
3110,1
4166,251
4166,249
4166,55
4166,253
4166,302
4166,27
4166,130
4166,137
4166,135
4166,248
4166,28
3894,18
3894,0
3330,0
3330,304
3330,726
3330,10
3330,716
3463,27
3463,422
3289,0
3803,99
3803,52
3803,0
3803,153
3523,0
3523,175
4048,714
4048,161
3326,500
3326,20
3326,1
3440,187
3440,188
3589,180
3589,62
3589,30
3589,110
3589,45
3944,0
3944,22
3944,24
3470,65
3470,771
3470,436
3578,188
3578,562
3578,65
3578,475
3626,91
3626,79
3626,90
3693,154
3693,206
3693,173
3693,32
3693,305
3547,184
3547,58
3547,484
3547,30
3547,485
3547,146
3547,27
3494,406
3494,11
3842,9
3842,73
3842,11
3853,35
3853,34
3853,27
3092,154
3092,32
3642,176
3642,0
3642,33
3527,0
3527,122
3394,0
3394,33
3871,79
3871,80
3871,269
3871,65
3850,79
3850,316
3850,315
4270,11
4270,16
4270,0
4270,18
4270,98
4270,66
4270,350
4270,565
4270,65
3399,267
3399,52
3399,0
3210,0
3210,12
3257,122
3257,24
3257,0
3086,132
3086,2
3086,218
3086,1
3086,3
3086,0
3086,291
3054,242
3054,32
4022,34
4022,164
4022,27
4091,406
4091,11
3932,0
3932,175
3932,59
3306,39
3306,168
3396,0
3396,12
3546,112
3546,79
3546,813
3546,148
3546,120
2990,0
2990,726
2990,716
2990,429
3632,122
3632,0
3814,1
3814,114
3814,352
3804,0
3804,86
3804,152
3804,1
3804,66
3804,4
4185,0
4185,60
3472,32
3472,50
4235,47
4235,115
4235,0
2967,183
2967,47
2967,777
2967,0
3462,74
3462,291
3462,0
3462,98
3462,33
3462,66
3278,184
3278,30
3278,58
3094,0
3094,97
3094,11
3094,66
3094,39
3094,152
3094,59
3094,150
3094,8
3094,9
3537,522
3537,11
3818,0
3818,33
4065,296
4065,21
4163,11
4163,9
3336,80
3336,65
3336,269
3644,122
3644,459
3644,0
3644,273
3644,304
2981,0
2981,6
2981,226
2960,28
2960,161
2960,359
2960,63
3688,28
3688,142
3688,719
3688,140
3688,141
3869,29
3869,30
3869,79
3869,574
3869,814
3869,149
3869,112
3785,30
3785,110
3785,206
3785,131
3785,45
3785,32
3785,195
3785,437
3312,475
3312,130
3312,65
3312,562
3835,27
3835,400
3835,130
3835,450
3835,56
3481,0
3481,3
3481,59
3481,1
3481,341
3481,86
3402,45
3402,171
3402,199
3402,200
3402,301
3402,30
3461,1
3461,22
3461,3
3461,13
3461,716
3461,0
3461,815
3346,32
3346,80
3346,173
3346,269
3346,65
3949,154
3949,32
4174,536
4174,24
4174,0
4174,1
4174,224
4174,13
4222,1
4222,125
4222,126
4222,4
4222,30
4222,20
3397,3
3397,1
3397,16
3397,260
3397,263
3397,30
3376,33
3376,0
3376,75
3376,5
3049,59
3049,73
3049,47
3049,9
3049,11
3049,0
3049,10
3049,310
3356,66
3356,98
3756,27
3756,34
3756,164
3342,190
3342,188
3342,192
3669,318
3669,16
3669,0
3669,10
3371,1
3371,0
3371,430
3371,7
3371,6
3371,263
3829,30
3829,323
3829,28
3829,324
3829,62
4124,33
4124,0
3033,9
3033,125
3033,126
3033,18
3033,99
3033,0
3033,11
3033,1
3033,72
3361,454
3361,30
3361,455
3361,255
3361,256
3361,257
3160,5
3160,0
3097,37
3097,39
3097,44
3155,3
3155,1
3178,0
3178,151
3848,240
3848,1
3722,0
3722,10
3926,147
3926,286
3926,55
3926,27
3926,58
3926,30
4141,50
4141,48
4141,194
4141,32
4141,193
4141,333
4141,332
3031,59
3031,61
3031,18
3031,86
3031,3
3031,24
3031,0
3031,1
4030,621
4030,5
4030,0
4030,13
4030,47
4030,1
4030,622
3079,33
3079,0
3079,47
3079,497
4108,11
4108,9
4108,181
4108,129
2932,24
2932,47
2932,0
2974,584
2974,298
2974,1
2974,0
2974,226
4194,65
4194,80
4194,269
4194,642
3395,132
3395,1
3395,114
3395,3
3395,0
3395,133
3913,24
3913,1
3913,3
3913,59
3913,100
3913,0
3580,32
3580,62
3580,368
3580,45
3580,241
3580,30
3580,46
3651,32
3651,154
3561,139
3561,27
2985,59
2985,11
2985,0
2985,9
2985,18
2985,182
2985,8
3637,1
3637,3
4187,353
4187,39
4187,37
4187,488
4187,42
4008,250
4008,27
4008,542
4008,249
4008,411
4275,188
4275,190
4275,261
3104,0
3104,291
3019,220
3019,80
3019,82
3019,81
3019,347
3019,65
3788,59
3788,0
4208,20
4208,114
4208,508
4208,125
4208,126
4208,816
4208,817
4208,130
4208,1
3539,0
3539,66
3539,152
3539,59
3076,49
3076,741
3076,50
3076,195
3076,32
3076,198
3245,193
3245,32
3245,441
3245,740
3245,194
3245,206
3245,305
4186,202
4186,79
3550,1
3550,3
4204,818
4204,21
4204,166
4204,282
4204,819
3986,260
3986,158
3986,603
3986,30
3986,547
3986,231
3986,16
3986,535
3986,66
3986,534
4201,0
4201,75
4155,404
4155,33
4155,0
4258,5
4258,74
4258,0
4258,6
4258,204
3695,66
3695,32
3695,305
3695,535
3816,125
3816,126
3816,1
3816,224
2999,59
2999,18
2999,0
2999,281
2999,175
4180,302
4180,145
4180,402
4180,27
3690,291
3690,0
4046,0
4046,240
4046,1
4046,86
4046,2
3156,428
3156,1
3156,0
3156,12
3156,263
3156,10
2944,66
2944,39
2944,97
3889,481
3889,152
3889,66
3105,820
3105,1
3105,0
3105,84
3105,442
4254,9
4254,375
4254,76
4254,11
3050,3
3050,1
3221,32
3221,193
3221,378
3221,154
3221,194
2966,1
2966,352
2966,0
2966,114
2966,176
2966,536
2966,33
2966,821
2966,60
4029,130
4029,400
4029,28
4029,53
4029,56
4029,27
4125,120
4125,316
4125,315
4125,79
3130,364
3130,130
3130,400
3130,27
3130,56
3035,0
3035,122
3035,73
3035,11
3035,9
3035,59
4086,2
4086,1
2956,612
2956,28
2956,486
2956,487
3518,475
3518,65
3518,287
4247,0
4247,47
4247,33
4247,497
4247,70
4071,74
4071,6
4071,0
4071,204
4071,2
4071,621
4071,1
3572,62
3572,30
3170,28
3170,472
3170,30
3170,101
3170,366
3170,391
3170,471
3595,1
3595,3
3595,0
3081,349
3081,11
3081,16
2937,354
2937,734
2937,296
2937,243
2937,117
2937,21
2905,10
2905,169
2905,9
2905,304
2905,12
2905,0
2905,11
3198,294
3198,188
3916,259
3916,16
3700,65
3700,269
3700,80
2989,51
2989,24
2989,0
2989,22
3846,518
3846,30
4167,228
4167,218
4167,1
4167,613
4167,0
4167,24
3996,671
3996,785
3996,79
3996,112
3996,690
3996,327
3996,119
3813,748
3813,304
3813,270
3813,114
3813,1
3813,263
3813,0
4211,822
4211,188
4211,190
4211,261
4035,218
4035,3
4035,1
4035,2
3660,29
3660,30
3660,79
3660,149
3819,100
3819,3
3819,1
3766,260
3766,11
3766,350
3766,30
3766,16
3498,21
3498,117
3636,28
3636,79
3636,776
3636,823
3542,240
3542,1
3542,132
4234,65
4234,80
4234,81
4234,82
4234,573
3493,79
3493,231
3493,158
3493,824
3083,28
3083,106
3412,9
3412,18
3412,214
3412,0
3412,24
3412,125
3412,126
3412,11
3412,59
3412,22
3412,1
3412,20
4088,50
4088,16
4088,260
4088,30
4088,31
4088,32
3028,32
3028,242
3609,30
3609,102
3609,45
3609,95
4146,47
4146,298
4146,0
3038,11
3038,9
3038,267
3038,0
3038,214
3038,59
3038,132
3038,1
3067,52
3067,1
3067,0
3067,267
3098,291
3098,0
3098,227
3030,97
3030,39
3030,98
3030,66
3941,21
3941,311
3883,267
3883,0
3745,99
3745,74
3745,33
3745,47
3745,0
4227,154
4227,32
4134,27
4134,34
4134,554
4134,197
4134,326
4205,47
4205,607
4205,304
4205,0
4274,130
4274,593
4274,356
4274,235
4274,232
4274,27
4274,234
3386,27
3386,419
3386,229
3386,469
3386,537
3386,130
3386,34
3386,538
3386,708
3386,825
4197,27
4197,34
4197,229
3945,30
3945,518
2933,11
2933,19
2933,129
2933,9
2933,1
2933,122
2933,0
4111,0
4111,1
4111,263
4111,268
3525,32
3525,50
3149,32
3149,173
3149,202
3149,79
3149,223
3223,51
3223,0
3223,24
3223,12
3223,10
4243,0
4243,33
4243,74
3218,0
3218,228
3218,24
3357,45
3357,30
3357,108
3357,110
3420,79
3420,90
3420,91
3452,452
3452,79
3452,77
3452,30
3770,3
3770,1
2953,0
2953,267
2953,59
3677,1
3677,18
3677,224
3677,24
3677,0
3781,1
3781,86
3781,122
3781,0
3002,6
3002,0
3002,13
3002,5
2987,32
2987,154
3471,65
3471,475
3588,296
3588,21
3588,167
3588,117
3588,354
2897,0
2897,60
2897,98
2897,65
2897,18
2897,72
2897,73
2897,565
2897,9
2897,11
2897,66
3144,24
3144,22
3144,0
3144,224
3144,1
3072,59
3072,175
3072,86
3072,0
3072,24
2947,0
2947,47
2947,122
2947,705
2947,59
3502,223
3502,79
3502,32
3502,546
3502,775
3502,173
3502,451
3430,1
3430,132
3430,240
2954,0
2954,19
2954,350
2954,11
2954,122
2954,1
2954,16
3388,366
3388,234
3388,130
3388,28
3277,79
3277,77
3277,1
3277,30
3277,25
3206,32
3206,79
3206,223
3206,305
3206,65
3206,173
3206,82
3206,80
2909,154
2909,670
2909,206
2909,32
2909,174
2909,173
2909,826
2909,223
2909,112
2909,79
2909,305
3485,42
3485,39
3485,37
3998,354
3998,117
3998,296
3998,21
3998,433
3998,483
4006,1
4006,114
4006,827
4006,451
4006,352
4006,79
3543,733
3543,39
3543,828
4118,226
4118,0
3142,430
3142,0
3142,298
3898,65
3898,562
3898,475
3654,154
3654,32
3476,73
3476,11
3476,122
3476,0
3476,9
2957,1
2957,0
2957,343
2957,428
4157,32
4157,50
3187,267
3187,0
4112,12
4112,18
4112,0
3284,152
3284,430
3284,66
3284,263
3284,114
3284,24
3284,1
3284,0
3634,397
3634,30
3634,532
3634,130
2920,0
2920,33
2920,4
2920,113
2920,114
2920,1
4089,197
4089,196
4089,619
3752,829
3752,16
3752,475
3752,65
4184,304
4184,429
4184,0
4184,1
4184,218
4184,225
4136,27
4136,249
4136,250
4273,63
3937,428
3937,263
3937,1
4067,117
4067,296
4067,460
4067,21
4067,482
3234,325
3234,239
3234,30
3234,50
3234,401
3234,32
3234,208
4165,1
4165,60
4165,24
4165,4
4165,0
4165,3
3212,250
3212,27
3212,411
3212,251
3212,249
3212,58
3212,147
3212,30
3125,297
3125,190
3125,188
3125,294
3897,31
3897,32
3983,9
3983,169
3983,86
3983,11
3983,0
3983,304
3165,0
3165,304
3165,429
3165,536
