u,deg_inter
31872,3
31873,2
31874,2
31875,1
31876,3
31877,3
31878,1
31879,20
31880,4
31881,2
31882,1
31883,5
31884,2
31885,6
31886,1
31887,1
31888,5
31889,1
31890,5
31891,19
31892,2
31893,10
31894,3
31895,1
31896,1
31897,1
31898,2
31899,46
31900,69
31901,2
31902,5
31903,1
31904,13
31905,2
31906,8
31907,11
31908,2
31909,1
31910,1
31911,1
31912,12
31913,1
31914,12
31915,1
31916,2
31917,1
31918,11
31919,2
31920,7
31921,1
31922,3
31923,3
31924,4
31925,3
31926,11
31927,4
31928,1
31929,279
31930,1
31931,1
31932,4
31933,58
31934,13
31935,1
31936,7
31937,41
31938,3
31939,4
31940,1
31941,2
31942,21
31943,3
31944,1
31945,2
31946,3
31947,1
31948,17
31949,1
31950,7
31951,1
31952,72
31953,2
31954,6
31955,1
31956,6
31957,3
31958,2
31959,3
31960,1
31961,1
31962,1
31963,1
31964,17
31965,2
31966,59
31967,1
31968,2
31969,3
31970,4
31971,9
31972,6
31973,1
31974,4
31975,1
31976,1
31977,6
31978,9
31979,6
31980,1
31981,1
31982,6
31983,5
31984,6
31985,4
31986,3
31987,4
31988,1
31989,1
31990,6
31991,23
31992,2
31993,1
31994,5
31995,16
31996,1
31997,12
31998,1
31999,1
32000,20
32001,1
32002,2
32003,1
32004,1
32005,16
32006,3
32007,4
32008,4
32009,1
32010,1
32011,1
32012,4
32013,1
32014,11
32015,1
32016,2
32017,1
32018,1
32019,2
32020,1
32021,4
32022,2
32023,15
32024,12
32025,8
32026,2
32027,2
32028,4
32029,1
32030,2
32031,8
32032,10
32033,4
32034,4
32035,2
32036,1
32037,12
32038,3
32039,1
32040,3
32041,1
32042,2
32043,40
32044,1
32045,5
32046,1
32047,2
32048,3
32049,8
32050,1
32051,5
32052,4
32053,3
32054,2
32055,1
32056,1
32057,4
32058,51
32059,5
32060,4
32061,5
32062,13
32063,1
32064,3
32065,2
32066,2
32067,4
32068,8
32069,7
32070,8
32071,8
32072,1
32073,1
32074,3
32075,1
32076,1
32077,1
32078,6
32079,16
32080,32
32081,17
32082,2
32083,1
32084,1
32085,2
32086,1
32087,1
32088,2
32089,1
32090,5
32091,17
32092,8
32093,1
32094,2
32095,1
32096,4
32097,1
32098,7
32099,11
32100,1
32101,19
32102,3
32103,2
32104,2
32105,1
32106,6
32107,8
32108,3
32109,4
32110,1
32111,1
32112,2
32113,2
32114,11
32115,1
32116,1
32117,1
32118,1
32119,1
32120,2
32121,1
32122,22
32123,3
32124,1
32125,14
32126,3
32127,2
32128,48
32129,1
32130,5
32131,4
32132,16
32133,4
32134,1
32135,4
32136,9
32137,1
32138,15
32139,1
32140,12
32141,1
32142,30
32143,4
32144,5
32145,5
32146,1
32147,1
32148,9
32149,5
32150,1
32151,5
32152,3
32153,3
32154,4
32155,5
32156,2
32157,6
32158,12
32159,5
32160,1
32161,2
32162,4
32163,1
32164,4
32165,2
32166,4
32167,1
32168,2
32169,19
32170,1
32171,1
32172,2
32173,3
32174,14
32175,8
32176,4
32177,23
32178,16
32179,3
32180,5
32181,1
32182,7
32183,1
32184,4
32185,895
32186,1
32187,1
32188,1
32189,1
32190,1
32191,2
32192,4
32193,1
32194,1
32195,30
32196,21
32197,3
32198,2
32199,2
32200,9
32201,1
32202,35
32203,24
32204,4
32205,4
32206,8
32207,2
32208,1
32209,2
32210,4
32211,20
32212,17
32213,4
32214,65
32215,52
32216,5
32217,1
32218,1
32219,3
32220,1
32221,4
32222,28
32223,3
32224,2
32225,8
32226,8
32227,1
32228,3
32229,2
32230,6
32231,4
32232,1
32233,3
32234,11
32235,1
32236,1
32237,1
32238,3
32239,5
32240,7
32241,10
32242,1
32243,2
32244,3
32245,4
32246,2
32247,7
32248,1
32249,2
32250,7
32251,8
32252,7
32253,1
32254,4
32255,3
32256,2
32257,9
32258,2
32259,11
32260,2
32261,1
32262,2
32263,8
32264,3
32265,6
32266,5
32267,2
32268,1
32269,2
32270,1
32271,15
32272,8
32273,1
32274,27
32275,1
32276,9
32277,8
32278,2
32279,1
32280,3
32281,2
32282,4
32283,3
32284,1
32285,1
32286,9
32287,1
32288,1
32289,1
32290,4
32291,4
32292,4
32293,3
32294,2
32295,6
32296,1
32297,1
32298,1
32299,190
32300,3
32301,3
32302,3
32303,1
32304,2
32305,1
32306,1
32307,3
32308,11
32309,2
32310,3
32311,3
32312,1
32313,2
32314,12
32315,1
32316,2
32317,1
32318,5
32319,31
32320,13
32321,4
32322,2
32323,1
32324,1
32325,5
32326,22
32327,1
32328,33
32329,6
32330,159
32331,2
32332,18
32333,3
32334,4
32335,16
32336,7
32337,2
32338,1
32339,2
32340,2
32341,2
32342,4
32343,1
32344,5
32345,2
32346,12
32347,1
32348,2
32349,1
32350,2
32351,1
32352,4
32353,6
32354,2
32355,25
32356,6
32357,2
32358,2
32359,1
32360,1
32361,1
32362,1
32363,15
32364,1
32365,1
32366,2
32367,1
32368,3
32369,1
32370,4
32371,4
32372,1
32373,43
32374,1
32375,2
32376,1
32377,28
32378,15
32379,1
32380,4
32381,11
32382,5
32383,1
32384,5
32385,1
32386,6
32387,4
32388,27
32389,1
32390,1
32391,3
32392,1
32393,1
32394,10
32395,1
32396,9
32397,2
32398,1
32399,1
32400,10
32401,2
32402,2
32403,1
32404,1
32405,1
32406,1
32407,2
32408,5
32409,2
32410,3
32411,3
32412,1
32413,2
32414,1
32415,2
32416,1
32417,1
32418,14
32419,25
32420,7
32421,2
32422,2
32423,1
32424,1
32425,2
32426,4
32427,1
32428,9
32429,3
32430,1
32431,11
32432,32
32433,3
32434,5
32435,1
32436,4
32437,11
32438,1
32439,4
32440,1
32441,3
32442,1
32443,2
32444,2
32445,4
32446,2
32447,3
32448,12
32449,3
32450,3
32451,6
32452,1
32453,2
32454,12
32455,6
32456,3
32457,1
32458,3
32459,1
32460,1
32461,4
32462,2
32463,4
32464,5
32465,1
32466,34
32467,1
32468,1
32469,9
32470,4
32471,2
32472,1
32473,17
32474,5
32475,22
32476,1
32477,3
32478,2
32479,2
32480,3
32481,1
32482,1
32483,1
32484,20
32485,1
32486,2
32487,1
32488,17
32489,1
32490,1
32491,1
32492,2
32493,1
32494,3
32495,2
32496,7
32497,1
32498,3
32499,4
32500,1
32501,72
32502,3
32503,1
32504,3
32505,3
32506,5
32507,1
32508,7
32509,4
32510,2
32511,6
32512,1
32513,26
32514,4
32515,1
32516,5
32517,1
32518,1
32519,6
32520,1
32521,1
32522,2
32523,3
32524,1
32525,2
32526,1
32527,1
32528,3
32529,1
32530,7
32531,1
32532,23
32533,5
32534,2
32535,117
32536,3
32537,4
32538,3
32539,1
32540,3
32541,2
32542,1
32543,16
32544,1
32545,1
32546,3
32547,2
32548,31
32549,1
32550,1
32551,3
32552,2
32553,1
32554,18
32555,2
32556,1
32557,2
32558,9
32559,2
32560,4
32561,1
32562,5
32563,5
32564,4
32565,9
32566,2
32567,1
32568,2
32569,1
32570,4
32571,1
32572,1
32573,4
32574,2
32575,1
32576,2
32577,3
32578,5
32579,21
32580,1
32581,1
32582,1
32583,7
32584,1
32585,2
32586,9
32587,5
32588,1
32589,2
32590,1
32591,1
32592,4
32593,1
32594,1
32595,1
32596,1
32597,3
32598,1
32599,12
32600,6
32601,3
32602,4
32603,11
32604,2
32605,2
32606,22
32607,1
32608,1
32609,3
32610,1
32611,2
32612,1
32613,3
32614,1
32615,2
32616,1
32617,2
32618,2
32619,6
32620,1
32621,1
32622,6
32623,2
32624,7
32625,3
32626,1
32627,1
32628,2
32629,40
32630,30
32631,3
32632,1
32633,3
32634,2
32635,1
32636,1
32637,2
32638,5
32639,20
32640,1
32641,1
32642,2
32643,1
32644,2
32645,1
32646,16
32647,1
32648,1
32649,2
32650,4
32651,3
32652,1
32653,1
32654,8
32655,2
32656,3
32657,3
32658,28
32659,2
32660,1
32661,4
32662,2
32663,5
32664,2
32665,1
32666,1
32667,7
32668,4
32669,1
32670,1
32671,1
32672,16
32673,4
32674,7
32675,2
32676,1
32677,1
32678,15
32679,3
32680,3
32681,1
32682,4
32683,5
32684,1
32685,2
32686,5
32687,1
32688,2
32689,2
32690,2
32691,1
32692,3
32693,6
32694,7
32695,1
32696,5
32697,21
32698,10
32699,38
32700,1
32701,3
32702,3
32703,1
32704,6
32705,21
32706,1
32707,1
32708,4
32709,7
32710,7
32711,22
32712,1
32713,1
32714,98
32715,4
32716,1
32717,1
32718,9
32719,1
32720,1
32721,4
32722,3
32723,23
32724,4
32725,9
32726,3
32727,12
32728,13
32729,5
32730,1
32731,5
32732,3
32733,1
32734,1
32735,2
32736,36
32737,5
32738,10
32739,6
32740,9
32741,1
32742,4
32743,1
32744,1
32745,8
32746,1
32747,3
32748,1
32749,4
32750,1
32751,1
32752,2
32753,1
32754,6
32755,6
32756,6
32757,1
32758,1
32759,2
32760,4
32761,4
32762,5
32763,1
32764,1
32765,1
32766,13
32767,12
32768,1
32769,1
32770,7
32771,4
32772,2
32773,3
32774,68
32775,12
32776,5
32777,2
32778,13
32779,1
32780,1
32781,3
32782,1
32783,1
32784,1
32785,19
32786,1
32787,9
32788,4
32789,4
32790,1
32791,2
32792,6
32793,1
32794,1
32795,6
32796,1
32797,3
32798,10
32799,1
32800,1
32801,4
32802,1
32803,1
32804,1
32805,10
32806,1
32807,2
32808,4
32809,5
32810,5
32811,1
32812,2
32813,1
32814,1
32815,2
32816,1
32817,1
32818,1
32819,1
32820,22
32821,11
32822,4
32823,11
32824,1
32825,1
32826,1
32827,2
32828,2
32829,2
32830,9
32831,19
32832,1
32833,7
32834,2
32835,12
32836,1
32837,1
32838,38
32839,5
32840,9
32841,1
32842,7
32843,1
32844,1
32845,1
32846,1
32847,2
32848,2
32849,2
32850,2
32851,1
32852,1
32853,7
32854,3
32855,1
32856,1
32857,1
32858,1
32859,7
32860,2
32861,1
32862,14
32863,13
32864,1
32865,3
32866,5
32867,9
32868,1
32869,2
32870,2
32871,1
32872,4
32873,3
32874,2
32875,5
32876,5
32877,1
32878,19
32879,6
32880,1
32881,13
32882,7
32883,3
32884,4
32885,1
32886,6
32887,3
32888,11
32889,6
32890,28
32891,14
32892,2
32893,9
32894,2
32895,15
32896,1
32897,1
32898,13
32899,1
32900,16
32901,1
32902,1
32903,7
32904,1
32905,14
32906,3
32907,2
32908,7
32909,1
32910,4
32911,2
32912,2
32913,3
32914,6
32915,2
32916,1
32917,1
32918,1
32919,21
32920,3
32921,1
32922,3
32923,1
32924,1
32925,3
32926,3
32927,1
32928,6
32929,2
32930,4
32931,2
32932,4
32933,10
32934,3
32935,4
32936,1
32937,2
32938,3
32939,8
32940,1
32941,2
32942,1
32943,8
32944,1
32945,1
32946,7
32947,1
32948,1
32949,6
32950,3
32951,2
32952,6
32953,5
32954,1
32955,20
32956,1
32957,3
32958,18
32959,2
32960,16
32961,1
32962,1
32963,3
32964,14
32965,1
32966,3
32967,16
32968,2
32969,2
32970,1
32971,3
32972,4
32973,2
32974,1
32975,10
32976,23
32977,13
32978,10
32979,4
32980,1
32981,9
32982,18
32983,3
32984,1
32985,1
32986,1
32987,7
32988,15
32989,1
32990,1
32991,1
32992,1
32993,1
32994,1
32995,8
32996,1
32997,52
32998,1
32999,2
33000,4
33001,1
33002,2
33003,1
33004,13
33005,3
33006,2
33007,10
33008,4
33009,7
33010,1
33011,2
33012,19
33013,46
33014,4
33015,1
33016,1
33017,1
33018,3
33019,2
33020,1
33021,1
33022,1
33023,1
33024,1
33025,3
33026,5
33027,24
33028,1
33029,2
33030,1
33031,1
33032,23
33033,17
33034,1
33035,9
33036,9
33037,1
33038,4
33039,2
33040,55
33041,6
33042,1
33043,1
33044,6
33045,4
33046,3
33047,6
33048,1
33049,1
33050,7
33051,10
33052,1
33053,2
33054,22
33055,2
33056,2
33057,1
33058,2
33059,5
33060,1
33061,1
33062,1
33063,1
33064,1
33065,2
33066,1
33067,35
33068,9
33069,30
33070,9
33071,1
33072,1
33073,7
33074,7
33075,1
33076,2
33077,1
33078,1
33079,1
33080,17
33081,2
33082,2
33083,24
33084,1
33085,3
33086,3
33087,2
33088,1
33089,2
33090,13
33091,3
33092,10
33093,2
33094,1
33095,1
33096,1
33097,10
33098,1
33099,3
33100,12
33101,13
33102,8
33103,3
33104,37
33105,2
33106,3
33107,1
33108,2
33109,6
33110,37
33111,4
33112,25
33113,8
33114,9
33115,1
33116,13
33117,3
33118,2
33119,11
33120,6
33121,1
33122,1
33123,5
33124,38
33125,1
33126,3
33127,1
33128,1
33129,1
33130,2
33131,5
33132,10
33133,1
33134,1
33135,1
33136,1
33137,2
33138,4
33139,3
33140,2
33141,3
33142,1
33143,12
33144,6
33145,5
33146,1
33147,6
33148,6
33149,1
33150,1
33151,2
33152,4
33153,1
33154,3
33155,2
33156,11
33157,2
33158,3
33159,1
33160,2
33161,2
33162,8
33163,18
33164,1
33165,1
33166,3
33167,3
33168,9
33169,4
33170,4
33171,4
33172,4
33173,1
33174,2
33175,18
33176,36
33177,1
33178,2
33179,4
33180,2
33181,4
33182,4
33183,1
33184,1
33185,3
33186,3
33187,1
33188,3
33189,1
33190,3
33191,2
33192,1
33193,5
33194,2
33195,2
33196,8
33197,1
33198,2
33199,1
33200,1
33201,2
33202,2
33203,16
33204,7
33205,3
33206,4
33207,1
33208,3
33209,3
33210,4
33211,52
33212,6
33213,6
33214,2
33215,1
33216,15
33217,4
33218,1
33219,1
33220,2
33221,1
33222,1
33223,2
33224,7
33225,1
33226,6
33227,1
33228,3
33229,8
33230,3
33231,17
33232,29
33233,1
33234,2
33235,1
33236,11
33237,1
33238,4
33239,13
33240,1
33241,1
33242,6
33243,1
33244,2
33245,2
33246,1
33247,1
33248,1
33249,1
33250,1
33251,1
33252,1
33253,16
33254,4
33255,1
33256,2
33257,9
33258,16
33259,3
33260,19
33261,44
33262,4
33263,1
33264,5
33265,1
33266,1
33267,3
33268,1
33269,5
33270,17
33271,1
33272,29
33273,1
33274,5
33275,4
33276,3
33277,2
33278,1
33279,1
33280,2
33281,1
33282,27
33283,1
33284,35
33285,2
33286,1
33287,8
33288,5
33289,1
33290,1
33291,4
33292,1
33293,1
33294,1
33295,2
33296,1
33297,2
33298,1
33299,1
33300,2
33301,1
33302,3
33303,2
33304,1
33305,25
33306,1
33307,6
33308,2
33309,3
33310,3
33311,5
33312,17
33313,11
33314,4
33315,5
33316,53
33317,1
33318,3
33319,1
33320,7
33321,22
33322,1
33323,2
33324,3
33325,2
33326,1
33327,18
33328,2
33329,1
33330,29
33331,1
33332,1
33333,1
33334,2
33335,7
33336,1
33337,5
33338,7
33339,1
33340,2
33341,3
33342,1
33343,2
33344,2
33345,1
33346,1
33347,2
33348,2
33349,1
33350,2
33351,1
33352,7
33353,1
33354,2
33355,5
33356,1
33357,1
33358,4
33359,1
33360,1
33361,2
33362,2
33363,1
33364,3
33365,2
33366,1
33367,4
33368,3
33369,2
33370,3
33371,7
33372,5
33373,1
33374,1
33375,27
33376,1
33377,1
33378,3
33379,1
33380,1
33381,1
33382,1
33383,2
33384,2
33385,1
33386,1
33387,6
33388,1
33389,4
33390,60
33391,5
33392,16
33393,5
33394,1
33395,4
33396,1
33397,1
33398,1
33399,1
33400,6
33401,1
33402,5
33403,1
33404,1
33405,7
33406,6
33407,2
33408,5
33409,4
33410,1
33411,12
33412,17
33413,3
33414,2
33415,3
33416,1
33417,5
33418,9
33419,4
33420,1
33421,3
33422,7
33423,4
33424,8
33425,1
33426,1
33427,4
33428,20
33429,5
33430,1
33431,10
33432,1
33433,8
33434,4
33435,6
33436,4
33437,3
33438,2
33439,1
33440,1
33441,7
33442,3
33443,1
33444,3
33445,15
33446,1
33447,8
33448,2
33449,7
33450,21
33451,2
33452,5
33453,4
33454,2
33455,18
33456,4
33457,1
33458,3
33459,13
33460,1
33461,1
33462,7
33463,1
33464,5
33465,79
33466,1
33467,2
33468,1
33469,1
33470,10
33471,3
33472,1
33473,6
33474,1
33475,5
33476,2
33477,1
33478,2
33479,1
33480,17
33481,3
33482,6
33483,2
33484,2
33485,4
33486,3
33487,1
33488,1
33489,1
33490,1
33491,9
33492,10
33493,1
33494,1
33495,1
33496,1
33497,2
33498,1
33499,3
33500,29
33501,1
33502,1
33503,2
33504,1
33505,2
33506,7
33507,1
33508,2
33509,2
33510,2
33511,1
33512,3
33513,4
33514,3
33515,3
33516,1
33517,4
33518,1
33519,4
33520,3
33521,10
33522,3
33523,16
33524,1
33525,1
33526,1
33527,16
33528,87
33529,1
33530,1
33531,1
33532,13
33533,1
33534,2
33535,8
33536,3
33537,7
33538,7
33539,9
33540,1
33541,10
33542,4
33543,15
33544,6
33545,1
33546,1
33547,5
33548,3
33549,2
33550,1
33551,3
33552,9
33553,3
33554,6
33555,9
33556,2
33557,5
33558,4
33559,6
33560,3
33561,4
33562,2
33563,5
33564,1
33565,1
33566,1
33567,2
33568,2
33569,1
33570,2
33571,1
33572,9
33573,18
33574,2
33575,31
33576,1
33577,1
33578,1
33579,1
33580,1
33581,1
33582,22
33583,1
33584,3
33585,9
33586,3
33587,1
33588,12
33589,3
33590,12
33591,1
33592,2
33593,2
33594,1
33595,7
33596,1
33597,1
33598,7
33599,2
33600,4
33601,7
33602,1
33603,8
33604,1
33605,1
33606,1
33607,4
33608,2
33609,5
33610,1
33611,1
33612,1
33613,2
33614,12
33615,3
33616,3
33617,3
33618,1
33619,1
33620,2
33621,1
33622,8
33623,1
33624,1
33625,1
33626,1
33627,4
33628,2
33629,1
33630,5
33631,1
33632,19
33633,3
33634,7
33635,2
33636,22
33637,1
33638,4
33639,1
33640,5
33641,1
33642,14
33643,13
33644,7
33645,1
33646,33
33647,1
33648,2
33649,7
33650,3
33651,8
33652,2
33653,1
33654,8
33655,11
33656,8
33657,2
33658,2
33659,2
33660,1
33661,5
33662,1
33663,1
33664,1
33665,1
33666,87
33667,3
33668,9
33669,1
33670,14
33671,7
33672,4
33673,7
33674,7
33675,2
33676,3
33677,7
33678,2
33679,2
33680,1
33681,2
33682,1
33683,1
33684,7
33685,5
33686,3
33687,2
33688,5
33689,1
33690,3
33691,1
33692,9
33693,1
33694,2
33695,13
33696,3
33697,10
33698,4
33699,14
33700,20
33701,7
33702,4
33703,3
33704,1
33705,2
33706,6
33707,1
33708,37
33709,2
33710,3
33711,5
33712,1
33713,5
33714,1
33715,4
33716,6
33717,2
33718,1
33719,1
33720,1
33721,3
33722,1
33723,4
33724,4
33725,1
33726,5
33727,1
33728,5
33729,3
33730,2
33731,1
33732,1
33733,23
33734,17
33735,1
33736,10
33737,7
33738,8
33739,2
33740,1
33741,2
33742,3
33743,4
33744,8
33745,1
33746,2
33747,1
33748,4
33749,5
33750,1
33751,1
33752,13
33753,2
33754,2
33755,1
33756,1
33757,3
33758,6
33759,24
33760,1
33761,13
33762,1
33763,3
33764,12
33765,9
33766,3
33767,5
33768,1
33769,1
33770,1
33771,1
33772,2
33773,2
33774,1
33775,1
33776,1
33777,4
33778,1
33779,3
33780,4
33781,21
33782,1
33783,5
33784,3
33785,2
33786,6
33787,2
33788,10
33789,7
33790,1
33791,1
33792,15
33793,2
33794,3
33795,1
33796,31
33797,1
33798,1
33799,1
33800,1
33801,4
33802,8
33803,1
33804,45
33805,1
33806,20
33807,5
33808,7
33809,2
33810,1
33811,2
33812,1
33813,1
33814,2
33815,1
33816,1
33817,1
33818,2
33819,2
33820,3
33821,1
33822,1
33823,4
33824,2
33825,5
33826,3
33827,2
33828,3
33829,3
33830,1
33831,2
33832,1
33833,1
33834,2
33835,19
33836,1
33837,1
33838,10
33839,1
33840,10
33841,5
33842,1
33843,5
33844,2
33845,14
33846,1
33847,8
33848,2
33849,7
33850,4
33851,1
33852,27
33853,9
33854,2
33855,1
33856,2
33857,6
33858,1
33859,4
33860,2
33861,5
33862,2
33863,2
33864,4
33865,6
33866,1
33867,6
33868,3
33869,1
33870,1
33871,7
33872,2
33873,11
33874,4
33875,1
33876,1
33877,1
33878,15
33879,3
33880,3
33881,4
33882,13
33883,4
33884,15
33885,8
33886,1
33887,7
33888,1
33889,1
33890,6
33891,20
33892,1
33893,6
33894,1
33895,1
33896,1
33897,1
33898,1
33899,1
33900,12
33901,3
33902,2
33903,1
33904,1
33905,1
33906,97
33907,3
33908,2
33909,7
33910,4
33911,1
33912,119
33913,1009
33914,4
33915,10
33916,7
33917,4
33918,5
33919,4
33920,1
33921,1
33922,1
33923,2
33924,21
33925,1
33926,1
33927,1
33928,7
33929,1
33930,1
33931,2
33932,7
33933,1
33934,4
33935,6
33936,1
33937,48
33938,3
33939,1
33940,8
33941,13
33942,3
33943,1
33944,28
33945,12
33946,6
33947,14
33948,1
33949,1
33950,1
33951,9
33952,4
33953,3
33954,8
33955,20
33956,4
33957,3
33958,1
33959,1
33960,11
33961,20
33962,3
33963,2
33964,2
33965,6
33966,2
33967,7
33968,2
33969,1
33970,1
33971,5
33972,3
33973,8
33974,2
33975,9
33976,2
33977,9
33978,1
33979,1
33980,2
33981,2
33982,7
33983,1
33984,2
33985,1
33986,1
33987,1
33988,25
33989,1
33990,2
33991,2
33992,20
33993,33
33994,3
33995,2
33996,4
33997,22
33998,1
33999,1
34000,1
34001,2
34002,1
34003,1
34004,2
34005,1
34006,6
34007,15
34008,9
34009,3
34010,1
34011,34
34012,1
34013,3
34014,2
34015,1
34016,22
34017,1
34018,1
34019,1
34020,2
34021,1
34022,9
34023,1
34024,1
34025,4
34026,5
34027,1
34028,1
34029,31
34030,5
34031,1
34032,3
34033,1
34034,1
34035,2
34036,10
34037,1
34038,31
34039,1
34040,4
34041,1
34042,6
34043,6
34044,1
34045,1
34046,1
34047,2
34048,1
34049,4
34050,2
34051,4
34052,2
34053,2
34054,6
34055,6
34056,8
34057,9
34058,1
34059,3
34060,4
34061,1
34062,1
34063,1
34064,9
34065,26
34066,7
34067,1
34068,1
34069,2
34070,3
34071,1
34072,2
34073,1
34074,2
34075,1
34076,1
34077,9
34078,1
34079,1
34080,11
34081,1
34082,3
34083,4
34084,1
34085,5
34086,1
34087,4
34088,24
34089,3
34090,1
34091,1
34092,6
34093,2
34094,12
34095,53
34096,1
34097,1
34098,25
34099,24
34100,1
34101,2
34102,1
34103,1
34104,3
34105,1
34106,1
34107,1
34108,1
34109,1
34110,2
34111,1
34112,8
34113,1
34114,3
34115,2
34116,2
34117,3
34118,7
34119,1
34120,1
34121,1
34122,1
34123,1
34124,1
34125,5
34126,3
34127,10
34128,2
34129,7
34130,1
34131,11
34132,1
34133,2
34134,1
34135,1
34136,1
34137,4
34138,8
34139,2
34140,9
34141,3
34142,21
34143,3
34144,1
34145,1
34146,1
34147,3
34148,2
34149,4
34150,1
34151,2
34152,15
34153,10
34154,2
34155,5
34156,5
34157,5
34158,1
34159,1
34160,1
34161,6
34162,7
34163,1
34164,3
34165,1
34166,1
34167,2
34168,1
34169,44
34170,11
34171,3
34172,2
34173,7
34174,2
34175,9
34176,56
34177,2
34178,6
34179,7
34180,19
34181,5
34182,51
34183,1
34184,22
34185,1
34186,1
34187,1
34188,1
34189,6
34190,16
34191,7
34192,1
34193,3
34194,1
34195,1
34196,3
34197,15
34198,1
34199,2
34200,1
34201,2
34202,1
34203,24
34204,26
34205,4
34206,4
34207,1
34208,5
34209,1
34210,7
34211,2
34212,1
34213,1
34214,18
34215,2
34216,3
34217,2
34218,5
34219,3
34220,3
34221,5
34222,8
34223,1
34224,1
34225,1
34226,2
34227,7
34228,3
34229,11
34230,1
34231,1
34232,1
34233,2
34234,2
34235,2
34236,1
34237,3
34238,37
34239,21
34240,10
34241,2
34242,1
34243,1
34244,2
34245,1
34246,29
34247,1
34248,4
34249,2
34250,3
34251,3
34252,6
34253,3
34254,2
34255,12
34256,1
34257,2
34258,3
34259,1
34260,16
34261,1
34262,9
34263,6
34264,5
34265,5
34266,1
34267,2
34268,1
34269,3
34270,3
34271,6
34272,10
34273,2
34274,43
34275,1
34276,5
34277,1
34278,1
34279,4
34280,3
34281,1
34282,4
34283,1
34284,1
34285,5
34286,1
34287,18
34288,2
34289,5
34290,6
34291,1
34292,4
34293,3
34294,1
34295,3
34296,1
34297,1
34298,1
34299,4
34300,1
34301,5
34302,4
34303,5
34304,5
34305,17
34306,1
34307,8
34308,1
34309,17
34310,10
34311,10
34312,1
34313,1
34314,18
34315,5
34316,2
34317,1
34318,1
34319,6
34320,1
34321,1
34322,1
34323,9
34324,4
34325,1
34326,3
34327,1
34328,2
34329,1
34330,1
34331,3
34332,2
34333,2
34334,2
34335,22
34336,4
34337,1
34338,33
34339,9
34340,1
34341,3
34342,1
34343,3
34344,1
34345,1
34346,1
34347,6
34348,3
34349,1
34350,1
34351,9
34352,3
34353,1
34354,1
34355,1
34356,3
34357,2
34358,28
34359,1
34360,1
34361,1
34362,18
34363,4
34364,2
34365,11
34366,10
34367,1
34368,2
34369,19
34370,2
34371,1
34372,2
34373,1
34374,2
34375,1
34376,14
34377,1
34378,13
34379,1
34380,3
34381,1
34382,4
34383,2
34384,3
34385,1
34386,3
34387,9
34388,1
34389,1
34390,4
34391,1
34392,1
34393,1
34394,7
34395,5
34396,16
34397,2
34398,1
34399,1
34400,1
34401,10
34402,8
34403,4
34404,1
34405,12
34406,2
34407,30
34408,5
34409,4
34410,17
34411,2
34412,1
34413,13
34414,2
34415,2
34416,1
34417,2
34418,1
34419,1
34420,1
34421,1
34422,3
34423,3
34424,2
34425,1
34426,1
34427,1
34428,15
34429,12
34430,2
34431,1
34432,1
34433,5
34434,1
34435,14
34436,6
34437,4
34438,9
34439,3
34440,2
34441,3
34442,1
34443,2
34444,10
34445,8
34446,3
34447,8
34448,1
34449,1
34450,1
34451,3
34452,1
34453,2
34454,5
34455,4
34456,2
34457,9
34458,5
34459,11
34460,13
34461,5
34462,2
34463,4
34464,1
34465,1
34466,3
34467,7
34468,4
34469,13
34470,1
34471,5
34472,1
34473,20
34474,10
34475,1
34476,7
34477,1
34478,1
34479,18
34480,1
34481,6
34482,1
34483,1
34484,3
34485,1
34486,1
34487,2
34488,1
34489,1
34490,7
34491,5
34492,6
34493,2
34494,1
34495,1
34496,3
34497,1
34498,1
34499,4
34500,3
34501,1
34502,1
34503,6
34504,4
34505,1
34506,1
34507,3
34508,1
34509,1
34510,1
34511,1
34512,2
34513,9
34514,1
34515,6
34516,1
34517,6
34518,1
34519,7
34520,4
34521,1
34522,8
34523,2
34524,34
34525,3
34526,2
34527,2
34528,2
34529,1
34530,6
34531,7
34532,1
34533,7
34534,1
34535,1
34536,2
34537,1
34538,26
34539,4
34540,1
34541,1
34542,5
34543,1
34544,1
34545,1
34546,2
34547,4
34548,2
34549,2
34550,1
34551,10
34552,1
34553,1
34554,1
34555,1
34556,42
34557,15
34558,1
34559,11
34560,11
34561,14
34562,2
34563,3
34564,1
34565,1
34566,3
34567,1
34568,1
34569,1
34570,4
34571,7
34572,1
34573,4
34574,6
34575,7
34576,1
34577,1
34578,1
34579,2
34580,1
34581,7
34582,2
34583,2
34584,2
34585,1
34586,41
34587,2
34588,2
34589,1
34590,1
34591,3
34592,1
34593,6
34594,5
34595,5
34596,1
34597,1
34598,7
34599,1
34600,5
34601,2
34602,18
34603,2
34604,1
34605,3
34606,3
34607,4
34608,1
34609,1
34610,1
34611,6
34612,2
34613,24
34614,5
34615,1
34616,15
34617,2
34618,1
34619,2
34620,2
34621,1
34622,1
34623,1
34624,1
34625,2
34626,12
34627,14
34628,4
34629,1
34630,2
34631,1
34632,1
34633,1
34634,1
34635,2
34636,1
34637,16
34638,14
34639,32
34640,19
34641,1
34642,2
34643,1
34644,1
34645,6
34646,1
34647,25
34648,1
34649,1
34650,3
34651,10
34652,4
34653,1
34654,1
34655,2
34656,11
34657,3
34658,9
34659,1
34660,1
34661,3
34662,1
34663,7
34664,3
34665,9
34666,3
34667,1
34668,2
34669,2
